Name,Country,Implementation Date,Start Date,End Date,Organisation Name,Donors,Implementing Partners,Point of Contact,Overview of digital health implementation,Geographical scope,Health Focus Areas,Software,Health System Challenges,Health Information System Support,Government Investor,Licenses,Repository,Mobile Application,Wiki,Interoperability Standards,National Level Deployment,First Level Coverage,Second Level Coverage,Approved
inSCALE Mz,Mozambique,30/04/2013,08/10/2009,30/03/2016,Malaria Consortium,"Bill and Melinda Gates Foundation (BMGF),Department for International Development (DFID)","Inhambane Provincial Health Authority,Mozambique Ministry of Health,London School of Hygiene and Tropical Medicine,University College of London, Institute for Global Health,Dimagi","Karin Kallander, k.kallander@malariaconsortium.org","The inSCALE APE CommCare application is a phone-based job aid that uses images and audio to guide APEs through the consultation steps to assess, diagnose, treat and refer patients with diarrhoea, pneumonia, malaria and malnutrition, as well as check for vaccination status. The app has been expanded and scale up since 2016 through upSCALE (information on upSCALE is listed separately on the Digital Health Atlas).",Inhambane province,Newborn and Child Health,"Commcare,Voice","3.7 Poor adherence to guidelines,5.2 Geographic inaccessibility,5.4 Loss to follow-up","G. Data interchange interoperability and accessibility,R. Laboratory and Diagnostic System,V. Public health and disease surveillance",yes,Protective free and open source software,,,,,,"District: Inhambane [Clients: 0, Health Workers: 132, Facilities: 0]",,no
ETAT,Malawi,01/01/2012,,,Meningitis Research Foundation / Action Meningitis,Meningitis Research Foundation,"D-tree International,Action Meningitis","Jessica Brown, jessicab@meningitis.org","Decision support tool used to prioritize clients presenting at busy health facilities and organize into Emergency, Priority and Queue in order to ensure clients most in need receive care as soon as possible",,"Adolescent and Youth Health,Infectious diseases (non-vector borne),Newborn and Child Health",Mangologic,"3.1 Poor patient experience,3.7 Poor adherence to guidelines,6.4 Delayed provision of care","M. Health finance and insurance system,R. Laboratory and Diagnostic System",no,Proprietary,,,,,,"District: Southern Region [Clients: 200000, Health Workers: 80, Facilities: 8]",,no
HelloNurse,Ghana,01/01/2018,,,Maternal and Child Survival Program,USAID,Jhpiego,"Steve Ollis, Steve.ollis@mcsprogram.org","Hello Nurse is a two chapter interactive story covering malaria prevention, diagnosis and case management for pre-service nurses.
The MCSP Malaria Interactive Story App ('Hello Nurse') is part of a series of e-learning tools being used by USAID’s flagship Maternal and Child Survival Program (MCSP) to strengthen malaria health services, focused on the components around strengthening and building the capacity of pre-service institutions.",,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs),Native Android,"3.2 Insufficient health worker competence,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines","N. Health Management Information System,Q. Knowledge Management,R. Laboratory and Diagnostic System",no,Proprietary,,https://play.google.com/store/apps/details?id=com.leti.letiframework.mcsp_hello_nurse&hl=en_US,,,"Clients: 0, Health Workers: 1, Facilities: 0",,,no
OppiaMobile,Ethiopia,31/07/2014,31/07/2013,30/10/2016,Digital Campus,Department for International Development (DFID),Jhpiego Ethiopia,"Alex Little, consult@alexlittle.net","Delivering a digital version of the FMoH national curriculum for the upgrade training of 160 Health Extension Workers, enhanced with additional video and quiz content, and a common/open platform (OppiaMobile). Few of the HEWs had access to the hardcopy versions of the curriculum and so limited opportunity to review and practice. The HEWs were followed up for a year after the training was completed, to evaluate how the skills learned were being put into practice.","Tigray, Ethiopia","Maternal health,Newborn and Child Health",OppiaMobile,3.2 Insufficient health worker competence,N. Health Management Information System,yes,Non protective free and open source software (e.g. Apache),http://oppiamobile.readthedocs.io,https://play.google.com/store/apps/details?id=org.digitalcampus.mobile.learning,,JSON,,"District: Tigray Region [Clients: 800000, Health Workers: 160, Facilities: 160]",,no
mVaccination,Zambia,30/06/2017,,,UNICEF,UNICEF,UNICEF,"Dr Ngawa Ngoma, nnngoma@unicef.org",SMS-based registration of under 5 children and reminder system to support Vaccination programme,Southern and Western Provinces,Newborn and Child Health,RapidPro,"1.1 Lack of population denominator,1.2 Delayed reporting of events,1.5 Lack of access to information or data,5.1 Low demand for services,5.4 Loss to follow-up","A. Census, population information & data warehouse,B. Civil Registration and Vital Statistics,E. Clinical terminology and classifications,G. Data interchange interoperability and accessibility,U. Pharmacy Information System",yes,Protective free and open source software,,,,JSON,,"District: Southern Province [Clients: 8465, Health Workers: 3124, Facilities: 212], District: Western Province [Clients: 2744, Health Workers: 1185, Facilities: 118]",,no
DHIS2,Lesotho,30/03/2015,27/02/2015,,MOH Lesotho,"ICAP,The Global Fund",ICAP,"Tsele Moloeli, moloelit@yahoo.com","DHIS2 aims at capturing of weekly, monthly and quarterly aggregate reports and event based data capturing from all health facilities and hospitals for the benefit of reporting to Ministry of Health so that analysis of data may be done from a warehouse perspective that eliminates data silos. The implementation is fully fleshed, more additions however of data sets and indicators are constantly being added on request and modifications",From facility level upwards,"Adolescent and Youth Health,Humanitarian health,Infectious diseases (non-vector borne),Maternal health,Newborn and Child Health,Non-communicable diseases,Nutrition and metabolic disorders,Sexual and reproductive health",DHIS2,"1.1 Lack of population denominator,1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,5.2 Geographic inaccessibility,6.3 Poor planning and coordination,6.4 Delayed provision of care","A. Census, population information & data warehouse,B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,H. Electronic Medical Record,Q. Knowledge Management,R. Laboratory and Diagnostic System,V. Public health and disease surveillance",yes,Protective free and open source software,https://github.com/dhis2/dhis2-core,http://hmis.gov.ls/dhis,https://en.wikipedia.org/wiki/DHIS,JSON,"Clients: 1000, Health Workers: 1000, Facilities: 1001",,,no
Lesotho eRegister,Lesotho,04/01/2018,04/01/2018,30/03/2019,MOH Lesotho,ICAP,"ICAP,MOH of Lesotho","Tsele Moloeli, moloelit@yahoo.com","eRegister aims at digitizing the HIV ART card and TB cab in order to produce a digital TB and ART register and to report to DHIS2 Presumptive TB Case quarterly report and the monthly HIV Care and treatment report. This eRegister when fully functional and rolled out country wide with a shared health records layer across facilities, it will then develop into a fully fledged Electronic Medical Records system.","Botha Bothe (Botha Bothe Hospital, Muela HC and St Pual HC) and Maseru (St Josephs Hosp, Tlalinyane HC and Nazareth HC)","Infectious diseases (non-vector borne),Sexual and reproductive health",DHIS2,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,3.5 Insufficient continuity of care,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,5.3 Low adherence to treatments,5.4 Loss to follow-up,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,J. Environmental monitoring systems,P. Identification registries and directories,Q. Knowledge Management,R. Laboratory and Diagnostic System,W. Research information system,X. SHR and health information repositories,Y. Telemedicine",yes,Protective free and open source software,,https://hiels.gov.ls/bahmni/home/,,JSON,,"District: 1252921 [Clients: 0, Health Workers: 100, Facilities: 0], District: 1252922 [Clients: 0, Health Workers: 100, Facilities: 0], District: 1252929 [Clients: 0, Health Workers: 100, Facilities: 0], District: 1252926 [Clients: 0, Health Workers: 100, Facilities: 0]",,no
HIV and Health Situation Rooms,Lesotho,04/08/2018,05/01/2018,,MOH Lesotho,UNAIDS,UNAIDS,"Masebeo Koto, kotomasebeo@gmail.com","The HIV and Health Situation Room seeks to address the analysis of HIV situation using cutting edge analytics technology with rich displays and elaborate multiple chat analysis to advice high Government officials on action plans. currently it focuses on HIV, PMTCT and it will grow into a full Health situation room. It was launched officially on the 8th May 2018.",Maseru and Berea,Sexual and reproductive health,DHIS2,"1.1 Lack of population denominator,1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.5 Insufficient continuity of care,3.6 Inadequate supportive supervision,6.3 Poor planning and coordination,6.4 Delayed provision of care","A. Census, population information & data warehouse,B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,P. Identification registries and directories,Q. Knowledge Management",yes,Proprietary,,,,,,"District: 1252926 [Clients: 1, Health Workers: 1, Facilities: 1], District: 1252921 [Clients: 1, Health Workers: 1, Facilities: 1]",,no
Diabetes Self-Management Support and Education Through Text-Messaging,Philippines,30/11/2016,31/12/2015,31/05/2018,UERM Graduate School,SMART Communications Inc.,Ateneo Java Wireless Competency Center,"Razel Custodio, rgcustodio@up.edu.ph","Diabetes Self-Management Support and Education Through Text-Messaging (DSMSET)  is a low-cost, two-way text messaging system designed to deliver self-help, educational messages based on the 9 dimensions of health management that works with SHINE OS+, an open-source EMR developed to streamline healthcare transactions. The research is also based on the Expanded Health Belief Model that upholds sequential goal-settings to improve predictors of appropriate behavior towards glycemic control.",Manila,Non-communicable diseases,OpenMRS,"1.4 Communication roadblocks,1.5 Lack of access to information or data","D. Client communication system,E. Clinical terminology and classifications",no,Protective free and open source software,,,,,,"District: Metro Manila [Clients: 122, Health Workers: 10, Facilities: 2]",,no
FreedomTB - Active Compliance and Treatment Strategy for combating Tuberculosis using Technology.,India,31/05/2015,31/05/2015,30/12/2025,ZMQ Development,"Department for International Development (DFID),IKP,USAID India","ZMQ Development,Haryana State TB Office,Delhi State TB Office","Subhi Quraishi, subhi@zmq.in","Active Compliance Treatment Strategy (ACTS) is an holistic solution using bottom-up technology model to tackle Tuberculosis. The key component of ACTS is being ‘Active’, giving full control to patients to manage treatment and report their adherence to treatment using mobile phones through VOT (Video-Observed Treatment). Besides compliance reporting, it also provides reminders and other information channels. It also provides communities to monitor progress of patients.","FreedomTB and kits Active Compliance and Treatment Strategy approach is being implemented in 3 states in India namely Haryana, Delhi and Rajasthan and in 3 Districts in Uganda. We are soon starting the program also in Rwanda. The project is a Bottom-Up Technology linked Model to empower patients and communities to combat TB. It is designed for countries which have high burden of Tuberculosis like Nigeria, South Africa, Cambodia, Russia, and other high burden countries.",Infectious diseases (non-vector borne),"Native Android,Voice","1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,2.4 Insufficient supply of qualified health workers,3.2 Insufficient health worker competence,3.5 Insufficient continuity of care,5.1 Low demand for services,5.2 Geographic inaccessibility,5.3 Low adherence to treatments,5.4 Loss to follow-up,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals,6.3 Poor planning and coordination,6.4 Delayed provision of care","C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,J. Environmental monitoring systems,L. Geographic Information Systems,N. Health Management Information System,P. Identification registries and directories,U. Pharmacy Information System,V. Public health and disease surveillance,W. Research information system,X. SHR and health information repositories,Y. Telemedicine",yes,"Proprietary,Protective free and open source software",http://www.freedomtb.org/,http://www.freedomtb.org/,http://www.freedomtb.org/,"ICD-10,JSON,mACM - Mobile Alert Communication Management,SVS - Sharing Value Sets",,"District: Haryana [Clients: 3000, Health Workers: 300, Facilities: 0], District: Delhi [Clients: 1700, Health Workers: 25, Facilities: 0]",,no
:  Improving outcomes in HIV patients usingmobile phone based interactive software support,Uganda,23/08/2016,30/11/2016,,Infectious Diseases institute-Ugandan Academy for Health Innovations & Impact,"Janssen Pharmaceutica, Pharmaceutical company of Johnson & Johnson",UgandanAcademy For Health Innovations & Impact-  IDII,"Rosalind Parkes Ratanshi, rp549@medschl.cam.ac.uk","Ugandan Academy for Health Innovation & Impact is implementing an open source software-based tool to send messages and interactive voice response  to people living with HIV, using the MoTeCh Software developed by Janssen & Janssen; previously used in India “ Connect for Life” as a mobile technology for community health .
The technology offers:Clinic appointment reminders, Supports weekly  self-reported adherence, Weekly health info-tips,+/- Symptom reporting.","Infectious Diseases clinic Mulago- Kampala ; Kisenyi Health Centre IV HIV clinic Kampla -Uganda; Kasangati Health centre IV, HIV adult Clinic Wakiso District;",Sexual and reproductive health,MOTECH,"1.4 Communication roadblocks,2.2 Insufficient supply of services,3.5 Insufficient continuity of care,5.3 Low adherence to treatments,5.4 Loss to follow-up","D. Client communication system,G. Data interchange interoperability and accessibility,I. Emergency response system,P. Identification registries and directories,W. Research information system",no,Protective free and open source software,www.callforlifeuganda.com,www.callforlifeuganda.com,,"HL7 v2,JSON,mACM - Mobile Alert Communication Management",,"District: Wakiso [Clients: 700, Health Workers: 2, Facilities: 0]",,no
MIRA Channel - m-Health Solution on RMNCH+A for Rural Women,India,31/12/2013,31/05/2012,30/12/2025,ZMQ Development,"FICCI,Jindal Steel Ltd.,UKAID,USAID India","ZMQ Development,Department of Health Haryana,Jindal Steel Foundation","Hilmi Quraishi, hilmi@zmq.in","In 2012, ZMQ launched MIRA Channel or Women Mobile Lifeline Channel - an integrated mobile phone channel to provide health communication & information tools, health services connect to rural women through mobile phones in low-resource settings. MIRA Channel has multiple components like Pre-natal care tools, Child immunization tools, Newborn care, Family planning and Adolescent health issues with an objective to improve maternal and child health through RMNCH+A approach.","The project is implemented in 4 states in India namely Haryana, Rajasthan, Maharashtra and Odisha; Herath in , Afghanistan and Jinja and Wakiso in Uganda. The solution is designed for rural women of Indian sub-continent and sub-Saharan Africa with low MCH indicators. Project is now being scaled to Senegal, in Nyagatare district in the western province of Rwanda. Women app for self management of Prenatal care, post-natal care and Routine Immunization are customized in local languages.","Maternal health,Newborn and Child Health",Native Android,"1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,2.2 Insufficient supply of services,2.4 Insufficient supply of qualified health workers,3.1 Poor patient experience,3.2 Insufficient health worker competence,3.5 Insufficient continuity of care,3.6 Inadequate supportive supervision,3.7 Poor adherence to guidelines,4.1 Lack of alignment with local norms,5.1 Low demand for services,5.2 Geographic inaccessibility,5.3 Low adherence to treatments,5.4 Loss to follow-up,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals,6.3 Poor planning and coordination,6.4 Delayed provision of care","D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,I. Emergency response system,J. Environmental monitoring systems,L. Geographic Information Systems,M. Health finance and insurance system,N. Health Management Information System,P. Identification registries and directories,Q. Knowledge Management,R. Laboratory and Diagnostic System,S. Learning and Training System,U. Pharmacy Information System,V. Public health and disease surveillance,W. Research information system,X. SHR and health information repositories,Y. Telemedicine",yes,Protective free and open source software,http://www.MiraChannel.org,http://www.MiraChannel.org,,"ICD-10,JSON,SVS - Sharing Value Sets",,"District: Haryana [Clients: 100000, Health Workers: 300, Facilities: 25], District: Odisha [Clients: 27000, Health Workers: 50, Facilities: 26]",,no
Raedat Refiat dHealth system,Egypt,01/04/2018,01/06/2017,31/03/2019,Maternal and Child Survival Program,"Save the Children,USAID",Save the Children,"Mohamed El Ghazaly, Mohamed.ElGhazaly@savethechildren.org","The Raedat Refiat (RR) – or “village pioneer” – community health worker (CHW) program was established in 1994 under the Ministry of Population (MoP) to address the country’s high fertility rate, by seeking to increase demand for family planning services and to improve health behaviors among key populations.  The goal is to replace paper-based registers for family screening, home visits forms; and all the field activity forms that are conducted routinely by the community health worker.","Luxor,  Ismailia, Port Said, Damietta and Assiut governorates",Sexual and reproductive health,Custom App for Windows,"1.4 Communication roadblocks,1.5 Lack of access to information or data,3.7 Poor adherence to guidelines,5.4 Loss to follow-up,6.2 Lack of or inappropriate referrals,6.3 Poor planning and coordination","D. Client communication system,E. Clinical terminology and classifications,G. Data interchange interoperability and accessibility,R. Laboratory and Diagnostic System,Y. Telemedicine",yes,Proprietary,,,,,,"District: 4103404 [Clients: 0, Health Workers: 239, Facilities: 0], District: 3062184 [Clients: 0, Health Workers: 125, Facilities: 0], District: 4103406 [Clients: 0, Health Workers: 53, Facilities: 0], District: 3726211 [Clients: 0, Health Workers: 289, Facilities: 0], District: 3726184 [Clients: 0, Health Workers: 523, Facilities: 0]",,no
IVRS - Family Planning info and client feedback,India,01/01/2018,,,Maternal and Child Survival Program,USAID,Jhpiego,"Dr Vivek Yadav, Vivek.Yadav@jhpiego.org","IVR system developed for FP clients. The system has  3 channels
Channel 1: FP method choice
Channel 2: Client feedback
Channel 3: Scheduling sterilization services",Odisha and Chattisggarh,Sexual and reproductive health,IVR,"3.1 Poor patient experience,6.3 Poor planning and coordination",M. Health finance and insurance system,no,,,,,,,"District: Chhattisgarh [Clients: 640, Health Workers: 0, Facilities: 0], District: Odisha [Clients: 2924, Health Workers: 0, Facilities: 0]",,no
Safe Delivery App- India,India,15/07/2017,01/01/2018,,Maternity Foundation,"Bill and Melinda Gates Foundation (BMGF),Merck for Mothers","Government of India,Jhpiego","Tarun Singh, tarun@maternity.dk","The Safe Delivery App, adapted to the Indian setting by Maternity Foundation, Government of India and Jhpiego, is being rolled out as part of the Government of India's Laqhsya program's quality improvement cycles to certify labor rooms based on quality of services and they are targeting more than 2000 facilities in the first year.",Multiple states,"Maternal health,Newborn and Child Health",Other,"2.4 Insufficient supply of qualified health workers,3.2 Insufficient health worker competence,3.7 Poor adherence to guidelines","L. Geographic Information Systems,N. Health Management Information System,R. Laboratory and Diagnostic System",yes,,https://www.youtube.com/watch?v=5n4DxiIQk1s,https://play.google.com/store/apps/details?id=dk.maternity.safedelivery&hl=en,http://maternity.dk,,"Clients: 0, Health Workers: 13500, Facilities: 2000",,,no
ART ACCESS,Uganda,11/07/2018,31/12/2017,31/05/2019,"Infectious Diseases Institute, Kampala Uganda",UK Medical Research Council,"Kampala City Council Authority,Ministry of health, Uganda,Ugandan Academy for Health Innovations and Impact","Dr Rosalind Parkes-Ratanshi, rp549@medschl.cam.ac.uk","We are developing a pilot mHealth tool (ART Access App) to link patient information on ART and viral load to an algorithm which guides a community pharmacy on ART delivery without the need for the stable patients to go to the health facilities for drug refills.  
The application will capture the patients’ demographics, unique identifier, current ART regimen, current viral load, treatment adherence score, clinical complaints, follow-up outcomes and reasons for missing appointments.","The project is currently implemented in Kampala, as a pilot, and will soon cover the greater Kampala region, and other districts","Infectious diseases (non-vector borne),Sexual and reproductive health",OpenMRS,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,2.4 Insufficient supply of qualified health workers,5.3 Low adherence to treatments,5.4 Loss to follow-up,6.4 Delayed provision of care","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,L. Geographic Information Systems,W. Research information system,X. SHR and health information repositories",no,Proprietary,,,,"HL7 FHIR,HL7 v3,JSON,PDQ or PDQm - (Mobile) Patient Demographics Query",,"District: Kampala [Clients: 2500, Health Workers: 100, Facilities: 6]",,no
Dot,United States,04/02/2017,04/02/2017,31/10/2018,"Cycle Technologies, Inc.",USAID,Institute for Reproductive Health,"Leslie Heyer, lheyer@cycletechnologies.com","The Dot app uses an advanced algorithm to determine a woman''s pregnancy risks using just her period start dates. The app gives users accurate information about their pregnancy risks so they can prevent pregnancy, plan pregnancy, or have a better understanding of their cycles.  This type of intervention has been found to bring new users to family planning and address unmet contraceptive need by providing an accessible, easy to use family planning method without side effects.",The Dot fertility app is currently undergoing a contraceptive efficacy study in the U.S. The study is being conducted by the Institute for Reproductive Health at Georgetown University with support from USAID. The goal of the study is to determine the Dot app's perfect use and typical use efficacy.,Sexual and reproductive health,Native Android,"1.3 Lack of quality/reliable data,2.1 Insufficient supply of commodities,2.2 Insufficient supply of services,4.1 Lack of alignment with local norms,4.2 Not addressing individual beliefs and practices,5.2 Geographic inaccessibility,5.3 Low adherence to treatments","C. Client applications,H. Electronic Medical Record,I. Emergency response system,S. Learning and Training System,T. Logistics Management Information System,V. Public health and disease surveillance,W. Research information system",no,Proprietary,,https://play.google.com/store/apps/details?id=com.cycletechnologies.dot.study&hl=en_US,,JSON,"Clients: 50000, Health Workers: 0, Facilities: 0",,,no
cStock/DHIS2,Kenya,31/01/2018,01/04/2017,31/12/2018,John Snow Inc.,Saving Lives at Birth Grand Challenges Canada,"inSupply,University of Oslo,Aura Safira","Sarah Andersson, sarah_andersson@jsi.com",The purpose of this project is to scale up the cStock approach (first implemented in Malawi) in Kenya using DHIS2 as the technology platform. In Malawi cStock was successful and continues to be an integral part of the community health program however the technology is not easily transferable to new contexts. The pilot in Kenya will test the applicability of this approach in another context and develop a tool and supply chain model that can be used by community health supply chains globally.,"Currently cStock/DHIS2 is being piloted in two sub-counties in Siaya county in Kenya. Approximately 587 community health volunteers, 40 community health assistants and 38 health facility staff are using the system for monthly reporting on stock levels,  informing resupply and emergency ordering of health commodities.","Newborn and Child Health,Sexual and reproductive health",DHIS2,"1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities","F. Community-based Information System,H. Electronic Medical Record",no,Non protective free and open source software (e.g. Apache),,,,,,"District: Siaya [Clients: 1, Health Workers: 580, Facilities: 38]",,no
Sistema Electronico de Logstica de Vacinas (SELV),United States,01/01/2014,01/01/2014,,VillageReach,"Bill and Melinda Gates Foundation (BMGF),Gavi, The Vaccine Alliance",VillageReach,"Christine Lenihan, christine.lenihan@villagereach.org","Sistema Electrónico de Logística de Vacinas, or SELV, is a customized implementation of OpenLMIS for vaccine management that was built to provide a comprehensive vaccine supply chain system in Mozambique. VillageReach, with support from the Mozambique Ministry of Health, selected the OpenLMIS platform to begin developing SELV. By the end of 2014, SELV had been deployed to four provinces on desktop, laptop, and mobile devices -- with all regions receiving SELV's extended deployment in early 2017.",Mozambique,Cross Cutting,OpenLMIS,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.1 Insufficient supply of commodities","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,H. Electronic Medical Record",yes,Non protective free and open source software (e.g. Apache),,,,JSON,"Clients: 0, Health Workers: 0, Facilities: 1200",,,no
The Safe Delivery App- Ethiopia,Ethiopia,01/06/2015,01/01/2005,,Maternity Foundation,"Bill and Melinda Gates Foundation (BMGF),Merck for Mothers,Novo Nordisk Fund","FMoH,Ethiopian Midwives Association,Børnefonden,AMREF,UNFPA,HealtheFoundation","Anne Marie Frøkjær Barrie, annemarie@maternityworldwide.dk","The Safe Delivery App is a smartphone application that provides skilled birth attendants with direct and instant access to evidence-based and up-to-date clinical guidelines on Basic Emergency Obstetric and Neonatal Care. The App provides life-saving information and guidance through easy-to-understand animated instruction videos, action cards and drug lists. It can serve as a training tool both in pre-and in-service training, and equips birth attendants with a powerful on-the-job reference tool.",National level,"Cross Cutting,Maternal health,Newborn and Child Health",Other,"2.4 Insufficient supply of qualified health workers,3.2 Insufficient health worker competence,3.7 Poor adherence to guidelines","L. Geographic Information Systems,N. Health Management Information System,R. Laboratory and Diagnostic System",yes,,,https://play.google.com/store/apps/details?id=dk.maternity.safedelivery&hl=en,https://www.maternity.dk/safe-delivery-app/,,"Clients: 0, Health Workers: 4322, Facilities: 0",,,no
mSpray`,Zambia,30/06/2014,30/06/2014,30/03/2019,Akros,"Bill and Melinda Gates Foundation (BMGF),U.S. President's Malaria Initiative","Abt Associates,PATH MACEPA,Against Malaria Foundation,Zambia National Malaria Elimination Programme,Ona","Anne Martin, acmartin@akros.com","mSpray is a field support and management tool for household-level interventions, used in indoor residual spraying. Spray operator teams use the geospatial, tablet based tool, to guide their teams in finding and capturing data on houses as they are sprayed. Data is available daily on dashboards for managers to review progress and adjust team planning as necessary; this data informed approach has been shown to reduce malaria cases and is in pilot phases for other malaria interventions.","This project has been implemented during indoor residual spray seasons (October - December) in different provinces across Zambia. Since 2014 it has been implemented at different scales at different times in Luapula, Eastern, and Southern provinces.",Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs),"ODK,Ona,RapidPro","1.1 Lack of population denominator,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,3.7 Poor adherence to guidelines,5.2 Geographic inaccessibility,6.1 Inadequate workflow management,6.3 Poor planning and coordination","A. Census, population information & data warehouse,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,J. Environmental monitoring systems,R. Laboratory and Diagnostic System,V. Public health and disease surveillance,X. SHR and health information repositories",yes,Protective free and open source software,https://mspray.com/,https://mspray.com/,https://mspray.com/,"JSON,XForms",,"District: Luapula Province [Clients: 1, Health Workers: 200, Facilities: 0], District: Eastern Province [Clients: 1, Health Workers: 90, Facilities: 0], District: Southern Province [Clients: 1, Health Workers: 20, Facilities: 0]",,no
BID INITIATIVE,United Republic of Tanzania,30/01/2017,30/04/2014,30/03/2019,PATH,"Bill and Melinda Gates Foundation (BMGF),Gavi, The Vaccine Alliance","PATH,JSI","Hassan Mtenga, Laurie Warner, hmtenga@path.org","Patient-level-information-system developed to track children immunization appointment and history, and their well-being from birth through under five as well as track vaccine stock utilization and management. The solution is responding to critical challenges namely, incomplete or untimely reporting, inaccurate target population and lack of unique identifiers of infants to account for continuum of care and complexity of data tools. The solution is deployed in primary health care level.","The project works in four regions of Tanzania mainland, Arusha, Tanga, Kilimanjaro and Dodoma. In 2018 the project is expected to cover ten more regions in Tanzania mainland, prioritization is based on immunization performance for the past two to three years.",Maternal health,Medic Mobile,"1.1 Lack of population denominator,1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,2.1 Insufficient supply of commodities,5.4 Loss to follow-up,6.4 Delayed provision of care","A. Census, population information & data warehouse,B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,H. Electronic Medical Record,X. SHR and health information repositories",yes,Non protective free and open source software (e.g. Apache),,,,"ATNA - Audit Trail and Node Authentication,GS1,HL7 FHIR,HL7 v2,JSON,PIX or PIXm - (Mobile) Patient Identifier Cross Reference","Clients: 450000, Health Workers: 2488, Facilities: 1300",,,no
Malaria Case-based Reporting mobile application,Myanmar,31/03/2017,31/05/2016,,Save the Children International,The Global Fund,PSI,"Kathryn Rosecrans, kathryn.rosecrans@savethechildren.org","The Myanmar Malaria Case-based reporting mobile application is used by village health volunteers to report testing and treatment of malaria cases. The Android application collects data on malaria cases’ village of residence, diagnosis, and treatment and sends it to a DHIS2 database. It allows stakeholders to access geospatial visualization of malaria tests and cases, village-based case information, and other analyses including malaria test positivity and LLIN ownership and utilization.","Currently deployed in five states and regions, with planned expansion to more.",Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs),DHIS2,"1.2 Delayed reporting of events,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information","B. Civil Registration and Vital Statistics,E. Clinical terminology and classifications,F. Community-based Information System",yes,,,,,,"Clients: 0, Health Workers: 800, Facilities: 0",,,no
