ID,Parent Sector,Parent Sector (2),Parent Sector (3),Sub Sector (1),Sub Sector (2),Sub Sector (3),Sub Sector (4),Sector Source,Products,Products (2),Project Name,Slug,Organization,Origin,Notes,Comments
266,"Digital, Data, and Technology",Health,,Infectious Diseases,,,,,,,Public Health Incentives,public_health_incentives,,Digital Health Atlas,,
267,"Digital, Data, and Technology",Health,,Platform Creation,,,,,,,Altibbi,altibbi,,Digital Health Atlas,,
268,Rural Development,Health,,Agricultural Policy and Food,Nutrition,,,,,,iCow,icow,,Digital Health Atlas,,
269,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,HubNet.io,hubnetio,,Digital Health Atlas,,
270,"Digital, Data, and Technology",Health,,Platform Creation,Gender,Family Planning,,,,,Mobile Application for Ipas-trained Abortion Providers in Mexico,mobile_application_for_ipastrain,,Digital Health Atlas,,
271,"Digital, Data, and Technology",Health,,Data Management and Policy,Infectious Diseases,,,,,,Vaccsbook,vaccsbook,,Digital Health Atlas,,
272,"Digital, Data, and Technology",Health,,Data Collection,,,,,,,Community Based Health and Frist Aid Endline Survey,community_based_health_and_frist,,Digital Health Atlas,,TYPO IN NAME
273,Health,Social Development and Education,,,,,,,,,Nurses International's Open Access Nursing Curriculum,nurses_internationals_open_acces,,Digital Health Atlas,,
274,Health,,,,,,,,,,Aplicacion para la donacion Altruista de Sangre,aplicacion_para_la_donacion_altr,,Digital Health Atlas,,
275,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,,,Improving Healthcare Capacity and Access Using THINKMD's Clinical Decision Support Tool in a Humanitarian Setting,improving_healthcare_capacity_an,ThinkMD,Digital Health Atlas,,
276,Health,Health,,Data Collection,Data Management and Policy,,,,,,Improving Healthcare Capacity and Access Using THINKMD's Clinical Decision Support Tool Used by Private Healthcare Providers,improving_healthcare_capacity_an,Save the Children; ThinkMD,Digital Health Atlas,,
277,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,,,"Improving Healthcare Capacity and Access Using THINKMD's Clinical Decision Support Tool: Maternal, Newborn, Child Health",improving_healthcare_capacity_an,ThinkMD,Digital Health Atlas,,
278,Health,,,,,,,,,,Warehousing of Legacy Films and Just in Time Sending via DICOM,warehousing_of_legacy_films_and,,Digital Health Atlas,,
279,Health,,,,,,,,,,Lifestyle Disease  Awareness and Prevention,lifestyle_disease_awareness_and,,Digital Health Atlas,,
280,Health,,,,,,,,,,DSP@MTUBE - The Smart Structured Surgical BigData Cloud Platform,dspmtube__the_smart_structured_s,,Digital Health Atlas,,
281,"Digital, Data, and Technology",Health,,Data Collection,Data Management,,,,,,Ethiopia Health Data Analytics Platform (EHDAP),ethiopia_health_data_analytics_p,Inter-American Development Bank (IADB),Digital Health Atlas,,
282,Health,,,,,,,,,,Liberia Health Analytics Platform (LHAP),liberia_health_analytics_platfor,,Digital Health Atlas,,
283,"Digital, Data, and Technology",Health,,Platform Creation,Infectious Diseases,,,,,,"eCompliance Suite for Tuberculosis prevention, control and treatment in BoP markets",ecompliance_suite_for_tuberculos,Maternity Foundation,Digital Health Atlas,,
284,Health,,,,,,,,,,Safe Abortion App,safe_abortion_app,,Digital Health Atlas,,
285,"Digital, Data, and Technology",Health,,Data Collection,Neonatal,,,,,,Sistema Informático Perinatal (SIP),sistema_informtico_perinatal_sip,World Health Organization (WHO); Foodcoops,Digital Health Atlas,,
286,"Digital, Data, and Technology",Health,,Data Collection,Platform Creation,,,,Medic Mobile,,Cardio.AI,cardioai,,Digital Health Atlas,,
287,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,,,Medic Mobile,,Digital Tools for CHWs with Integrate Health and Medic Mobile,digital_tools_for_chws_with_inte,,Digital Health Atlas,,
288,"Digital, Data, and Technology",Health,,Family Planning,,,,,,,Family Planning Digital Health System for Community Health Workers - Shinyanga Region,family_planning_digital_health_s,Pathfinder International; Palladium; D-Tree International,Digital Health Atlas,,
289,Health,,,,,,,,,,e-SUS Atenção Básica,esus_ateno_bsica,,Digital Health Atlas,,
290,Health,,,,,,,,,,Millennials' Growth,millennials_growth,,Digital Health Atlas,,
291,Health,,,,,,,,,,Empower Health,empower_health,,Digital Health Atlas,,
292,Health,,,,,,,,,,E-Heza Digital Health Record,eheza_digital_health_record,,Digital Health Atlas,,
293,Health,,,,,,,,,,Certification / CertiLife by Medappcare,certification__certilife_by_meda,,Digital Health Atlas,,
294,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Tuberculosis Management among Migrants - TB Reach,tuberculosis_management_among_mi,D-Tree International,Digital Health Atlas,,
295,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Rheumatic Heart Disease and Hypertension Tracking,rheumatic_heart_disease_and_hype,D-Tree International,Digital Health Atlas,,
296,"Digital, Data, and Technology",Health,,Platform Creation,Infectious Diseases,,,,,,Surveda,surveda,RTI International; Jhpiego,Digital Health Atlas,,
297,Social Development and Education,Health,"Digital, Data, and Technology",E-learning,Platform Creation,Supply chain and logistics ,,,DHIS2,,NaijaCare Project,naijacare_project,Every1Mobile; Inter-American Development Bank (IADB),Digital Health Atlas,,
298,Health,,,,,,,,,,VitaHealth,vitahealth,,Digital Health Atlas,,
299,"Digital, Data, and Technology",Health,,Data Management and Policy,Neonatal,,,,CommCare,,Suivi nutritionnelle des enfants moins de 5 ans,suivi_nutritionnelle_des_enfants,UNICEF Ventures Fund; Inter-American Development Bank (IADB); UNICEF Innovation Fund,Digital Health Atlas,irrelevant description,
300,Health,,,Data Collection,Childcare,,,,,,Surveillance nutritionnelle des enfants moins de 5 ans par mobile,surveillance_nutritionnelle_des,Jhpiego; Inter-American Development Bank (IADB),Digital Health Atlas,,
301,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,GNU Health,,"Centro de Atención Primaria de Salud ""Humberto D'Angelo""",centro_de_atencin_primaria_de_sa,,Digital Health Atlas,,
302,"Digital, Data, and Technology",Health,State and Democracy (Good Governance),Data Management and Policy,Transition,,,,GNU Health,,Implementation of a LIMS based on GNU Health at the International Center for Medical Research of Franceville,implementation_of_a_lims_based_o,,Digital Health Atlas,,
303,"Digital, Data, and Technology",Health,,Data Collection,,,,,DHIS2; Open Data Kit,,Shang Ring Electronic Data Collection,shang_ring_electronic_data_colle,Israels Ministry of Health; Inter-American Development Bank (IADB),Digital Health Atlas,,
304,Health,,,,,,,,,,AppQ,appq,,Digital Health Atlas,,
305,Health,,,,,,,,,,Suivi des grossesses dans la région de Kaolack,suivi_des_grossesses_dans_la_rgi,World Health Organization (WHO); Inter-American Development Bank (IADB),Digital Health Atlas,,
306,"Digital, Data, and Technology",Health,,Platform Creation,Childcare,,,,MOTECH,,Suivi nutritionnel des enfants de moins de 5 ans dans la région de Lobata,suivi_nutritionnel_des_enfants_d,Inter-American Development Bank (IADB),Digital Health Atlas,,
307,Health,,,,,,,,,,KOMEET – mobile app for intensive care documentation,komeet__mobile_app_for_intensive,,Digital Health Atlas,,
308,Health,,,,,,,,,,suivi des diabétiques,suivi_des_diabtiques,World Health Organization (WHO); Inter-American Development Bank (IADB),Digital Health Atlas,,
309,"Digital, Data, and Technology",Health,,Communication,Data Collection,,,,CommCare,,Suivi des malades diabitiques au Burkina,suivi_des_malades_diabitiques_au,Inter-American Development Bank (IADB),Digital Health Atlas,,
310,"Digital, Data, and Technology",Health,,Platform Creation,,,,,GNU Health,,Mis Logros,mis_logros,,Digital Health Atlas,,
311,"Digital, Data, and Technology",Health,,Data Collection,Data Management,Neonatal,,,,,"Safe Pregnancy & Birth mobile app (English, Spanish)",safe_pregnancy__birth_mobile_app,Inter-American Development Bank (IADB),Digital Health Atlas,,
312,"Digital, Data, and Technology",Health,,Platform Creation,Neonatal,,,,,,First 42 days application,first_42_days_application,Save the Children,Digital Health Atlas,,
313,"Digital, Data, and Technology",Health,,,,,,,HAPI FHIR,,Lyfegen,lyfegen,,Digital Health Atlas,HAPI FHIR product has 3 other projects that are not listed under the product name,
314,"Digital, Data, and Technology",Health,,Data Collection,Data Management,Infectious Diseases,,,,,Suivi de la vaccination de routine par mobile,suivi_de_la_vaccination_de_routi,Inter-American Development Bank (IADB),Digital Health Atlas,,
315,"Digital, Data, and Technology",,,Data Management and Policy,,,,,HAPI FHIR,,HAPI FHIR,hapi_fhir,,Digital Health Atlas,,
316,Health,,,,,,,,,,Télé expertise en cardiologie,tl_expertise_en_cardiologie,World Health Organization (WHO),Digital Health Atlas,,
317,"Digital, Data, and Technology",Health,,Platform Creation,,,,,,,"Safe Abortion (SA) mobile app (English, French, Spanish)",safe_abortion_sa_mobile_app_engl,Palladium,Digital Health Atlas,,
318,"Digital, Data, and Technology",Health,,Data Collection,Data Management,,,,,,Projjet Télé cardiologie,projjet_tl_cardiologie,Inter-American Development Bank (IADB),Digital Health Atlas,,
319,"Digital, Data, and Technology",Health,,Infectious Diseases,,,,,,,Immuno-T,immunot,Malaria Consortium,Digital Health Atlas,,
320,"Digital, Data, and Technology",Health,,Data Collection,Platform Creation,Infectious Diseases,,,OpenSRP,,mTika,mtika,Inter-American Development Bank (IADB),Digital Health Atlas,,
321,"Digital, Data, and Technology",Health,,Data Collection,Data Management,Infectious Diseases,Childcare,,,,Suivi de la vaccination  de routine des enfants de moins 5 ans,suivi_de_la_vaccination_de_routi,Inter-American Development Bank (IADB),Digital Health Atlas,,
322,"Digital, Data, and Technology",Health,,Data Collection,Data Management,,,,,,Suivi des malades diabétiques,suivi_des_malades_diabtiques,Inter-American Development Bank (IADB),Digital Health Atlas,,
323,"Digital, Data, and Technology",Health,,Data Collection,Childcare,,,,OpenSRP,,ZEIR - Zambia Electronic Immunization Registry,zeir__zambia_electronic_immuniza,PATH; Center for International Private Enterprise (CIPE); Inter-American Development Bank (IADB),Digital Health Atlas,,
324,Health,,,,,,,,,,NACOSA Health Analytics Platform (NHAP),nacosa_health_analytics_platform,,Digital Health Atlas,,
325,Health,,,,,,,,,,Rwanda Health Analytics Platform (RHAP),rwanda_health_analytics_platform,,Digital Health Atlas,,
326,Health,,,,,,,,,,Togo Health Analytics Platform (THAP),togo_health_analytics_platform_t,,Digital Health Atlas,,
327,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Zambia health Analytics Platform (ZHAP),zambia_health_analytics_platform,Israels Ministry of Health,Digital Health Atlas,,
328,Health,,,,,,,,,,mAlert,malert,,Digital Health Atlas,,
329,Health,,,,,,,,Blood Safety Information System,,suivi nutrionnel,suivi_nutrionnel,,Digital Health Atlas,description missing even in DHA,
330,"Digital, Data, and Technology",,,Data Collection,,,,,Open Data Kit,,Suivi de de la vaccination des enfants de moisn d'un an,suivi_de_de_la_vaccination_des_e,World Health Organization (WHO),Digital Health Atlas,,
331,"Digital, Data, and Technology",,,Data Management and Policy,,,,,OpenCRVS,,OpenCRVS,opencrvs,Jembi Health Systems NPC; JICA; Plan International,Digital Health Atlas,two entries from different sources; merge?,
332,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,The Zone,the_zone,United Nations Population Fund (UNFPA),Digital Health Atlas,,
333,"Digital, Data, and Technology",Health,,Data Management and Policy,Infectious Diseases,,,,OpenMRS,,MDR-TB Patient Management System,mdrtb_patient_management_system,,Digital Health Atlas,,
334,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,Infectious Diseases,,,CommCare; OpenMRS; Medic Mobile,,APZU / Partners In Health Technology,apzu__partners_in_health_technol,Dimagi; Jhpiego,Digital Health Atlas,,
335,Health,,,,,,,,,,Because We Care!,because_we_care,,Digital Health Atlas,,
336,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,eSIP-Saude,esipsaude,Dimagi; World Health Organization (WHO),Digital Health Atlas,,
337,Social Development and Education,Health,,,,,,,,,SIFIn,sifin,Dimagi; World Health Organization (WHO),Digital Health Atlas,,
338,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,RxSolution,,RxSolution,rxsolution,"Intrahealth International; John Snow, Inc. (JSI); World Resources Institute; Zbidi-Consulting ; United Nations Population Fund (UNFPA)",Digital Health Atlas,,
339,Health,,,,,,,,,,Pharmaceutical Information Portal,pharmaceutical_information_porta,,Digital Health Atlas,,
340,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2; RapidPro,,Option B+,option_b,World Health Organization (WHO),Digital Health Atlas,,
341,"Digital, Data, and Technology",Health,,Data Collection,,,,,Open Data Kit; RapidPro; Medic Mobile; Enketo,,Smart-Health App,smarthealth_app,Living Goods; Medic Mobile; Tropical Health and Education Trust (THET); Israels Ministry of Health,Digital Health Atlas,,
342,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,KP/PrEP Tracking System,kpprep_tracking_system,Israels Ministry of Health,Digital Health Atlas,,
343,"Digital, Data, and Technology",Health,,Data Collection,,,,,Open Data Kit; RapidPro; Medic Mobile; Enketo,,Performance Tracking App for CHW Supervisors,performance_tracking_app_for_chw,Medic Mobile; Living Goods; Tropical Health and Education Trust (THET); Israels Ministry of Health,Digital Health Atlas,,
344,"Digital, Data, and Technology",,,Platform Creation,,,,,,,Strategic Information Mobile Apllication,strategic_information_mobile_apl,USAID; World Health Organization (WHO),Digital Health Atlas,,
345,"Digital, Data, and Technology",Health,,Data Collection,,,,,OpenHIM; OpenMRS,,Viral Load Dashboard,viral_load_dashboard,,Digital Health Atlas,irrelevant description; no info in the link,
346,Health,,,,,,,,,,Open-NIS Patient Care Summary WordPress Plugin,opennis_patient_care_summary_wor,,Digital Health Atlas,,
347,"Digital, Data, and Technology",Health,,Data Collection,Data Management and Policy,,Neonatal,,OpenMRS; OpenSRP,,mCare II,mcare_ii,Intrahealth International,Digital Health Atlas,,
348,"Digital, Data, and Technology",Health,,Data Management and Policy,Platform Creation,,,,OpenLMIS,,OpenLMIS Malawi,openlmis_malawi,VillageReach,Digital Health Atlas,,
349,Health,,,,,,,,,,IRS - Cunene,irs__cunene,,Digital Health Atlas,,
350,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,,,Health Integration Platform - National EHR,health_integration_platform__nat,Israels Ministry of Health,Digital Health Atlas,,
351,"Digital, Data, and Technology",Health,,Data Management and Policy,Platform Creation,,,,OpenLMIS,,OpenLMIS Tanzania,openlmis_tanzania,"VillageReach; John Snow, Inc. (JSI)",Digital Health Atlas,,
352,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Afghanistan HMIS,afghanistan_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
353,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Algeria HMIS,algeria_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
354,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Angola HMIS,angola_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
355,"Digital, Data, and Technology",Health,,Data Management and Policy,Platform Creation,,,,OpenLMIS,,OpenLMIS Zambia,openlmis_zambia,"John Snow, Inc. (JSI)",Digital Health Atlas,,
356,"Digital, Data, and Technology",Health,,Data Management and Policy,Platform Creation,,,,OpenLMIS,,OpenLMIS Mozambique (SELV),openlmis_mozambique_selv,VillageReach; Inter-American Development Bank (IADB),Digital Health Atlas,,
357,"Digital, Data, and Technology",Health,,Data Management and Policy,Platform Creation,,,,OpenLMIS,,OpenLMIS Mozambique (SIGLUS),openlmis_mozambique_siglus,VillageReach,Digital Health Atlas,,
358,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Bangladesh HMIS,bangladesh_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
359,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Benin HMIS,benin_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
360,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Burkina Faso HMIS,burkina_faso_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
361,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Burundi HMIS,burundi_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
362,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Cambodia HMIS,cambodia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
363,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Cameroon HMIS,cameroon_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
364,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Chad HMIS,chad_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
365,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Colombia HMIS,colombia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
366,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Comoros HMIS,comoros_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
367,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Djibouti HMIS,djibouti_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
368,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Dem. Rep. Congo HMIS,dem_rep_congo_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
369,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Eritrea HMIS,eritrea_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
370,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Ethiopia HMIS,ethiopia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
371,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Gambia HMIS,gambia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
372,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Ghana HMIS,ghana_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
373,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Grenada HMIS,grenada_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
374,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Guinea Bissau HMIS,guinea_bissau_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
375,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Guinea HMIS,guinea_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
376,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Haiti HMIS,haiti_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
377,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Honduras HMIS,honduras_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
378,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,West Bengal HMIS,west_bengal_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
379,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Uttarakhand HMIS,uttarakhand_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
380,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Uttar Pradesh HMIS,uttar_pradesh_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
381,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Tripura HMIS,tripura_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
382,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Tamil Nadu HMIS,tamil_nadu_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
383,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Sikkim HMIS,sikkim_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
384,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Rajasthan HMIS,rajasthan_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
385,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Punjab HMIS,punjab_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
386,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Odisha HMIS,odisha_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
387,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Nagaland HMIS,nagaland_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
388,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Mizoram HMIS,mizoram_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
389,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Madhya Pradesh HMIS,madhya_pradesh_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
390,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Manipur HMIS,manipur_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
391,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Meghalaya HMIS,meghalaya_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
392,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Maharashtra HMIS,maharashtra_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
393,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Kerala HMIS,kerala_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
394,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Karnataka HMIS,karnataka_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
395,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Jammu and Kashmir HMIS,jammu_and_kashmir_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
396,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Jharkhand HMIS,jharkhand_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
397,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Haryana HMIS,haryana_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
398,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Himachal Pradesh HMIS,himachal_pradesh_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
399,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Gujarat HMIS,gujarat_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
400,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Goa HMIS,goa_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
401,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Chhattisgarh HMIS,chhattisgarh_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
402,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Bihar HMIS,bihar_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
403,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Assam HMIS,assam_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
404,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Arunachal Pradesh HMIS,arunachal_pradesh_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
405,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Andhra Pradesh HMIS,andhra_pradesh_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
406,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Indonesia HMIS,indonesia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
407,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Iraq HMIS,iraq_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
408,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Ivory Coast HMIS,ivory_coast_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
409,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Kenya HMIS,kenya_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
410,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Laos HMIS,laos_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
411,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Lebanon HMIS,lebanon_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
412,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Liberia HMIS,liberia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
413,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Madagascar HMIS,madagascar_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
414,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Malawi HMIS,malawi_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
415,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Maldives HMIS,maldives_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
416,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Mali HMIS,mali_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
417,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Mauritania HMIS,mauritania_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
418,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Mongolia HMIS,mongolia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
419,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Mozambique HMIS,mozambique_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
420,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Myanmar HMIS,myanmar_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
421,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Namibia HMIS,namibia_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
422,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Nepal HMIS,nepal_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
423,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Niger HMIS,niger_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
424,"Digital, Data, and Technology",Health,,Data Management and Policy,,,,,DHIS2,,Nigeria HMIS,nigeria_hmis,"DHIS2; John Snow, Inc. (JSI)",Digital Health Atlas,,
