Platform Name,Jurisdiction of Origin,Pillar,Lead Organization,Description,Partners,Open Source + Repo,Link
National Unified USSD Platform (NUUP),India,Digital Payments,NPCI,"NUUP is a banking service protocol that enbables mobile phone users to transmit banking information, such as verifying checking account balance, generating statements, and transfering funds via MMID codes, over a GSM network rather than requiring internet connections or smartphones. While different banks follow different protocol to use NUUP service, and therefore requiring the user to follow up with the bank to confirm the USSD code for various services, it provides basic financial services to those without mobile internet. It enables the *99# service, a USSD-based mobile banking service that includes 11 telecom providers and provides simliar services as the UPI, without the need for internet.","Mahanagar Telephone Nigam Limited (MTNL) and Bharat Sanchar Nigam Limited (BSNL), Department of Financial Services (DFS), Telecom Regulatory Authority of India (TRAI), Reserve Bank of India (RBI) and the Indian Bank Association",No,https://www.npci.org.in/product-overview/99-product-overview
RuPay Contactless,India,Digital Payments,NPCI,"RuPay Contactless is a contactless payment mechanism using RFID technology that allows cardholders to wave their card in front of contactless payment terminals without the need to physically swipe or insert the card into a point-of-sale device. The specifications enable multiple services providers to store and transmit information on a single device, enabling providers to more easily offer mobile services to users.","Reserve Bank of India (RBI), Ministry of Urban Development (MoUD), ",No,https://www.npci.org.in/product-overview/rupay-contactless-product-overview
Immediate Payment Service (IMPS),India,Digital Payments,NPCI,"Immediate Payment Service (IMPS) is an instant payment inter-bank electronic funds transfer system in India, available every day of the year. IMPS offers an inter-bank electronic fund transfer service through mobile phones.","State Bank of India, Bank of India, Union Bank of India and ICICI Bank, Yes Bank, Axis Bank and HDFC Bank",No,https://www.npci.org.in/product-overview/imps-product-overview
National Electronic Toll Collection (NETC),India,Digital Payments,NPCI,"The National Electronic Toll Collection offers an interoperable nationwide toll payment solution including clearing house services for settlement and dispute management. The system uses a common set of processes, business rules and technical specifications which enable a customer to use their FASTag RFID payment device as payment mode on any of the toll plazas irrespective of who has acquired the toll plaza.",N/A,No,https://www.npci.org.in/netc
Bharat BillPay,India,Digital Payments,NPCI,"Bharat BillPay an integrated ecosystem for payment of all bills providing an interoperable and accessible “Anytime Anywhere” bill payment service to all customers across India with certainty, reliability and safety of transactions. It offers myriad bill collection categories like electricity, telecom, DTH, gas, water bills, etc. and also other repetitive payments like insurance premium, mutual funds, school fees, institution fees, credit cards,  fastag recharge, local taxes, housing society payments, etc. at one single window.",N/A,No,https://www.npci.org.in/product-overview/bharat-billpay-product-overview
National Automated Clearing House (NACH),India,Digital Payments,NPCI,"National Automated Clearing House (NACH) is a centralised system, launched with an aim to consolidate multiple electronic clearing systems systems running across the country and provides a framework for the harmonization of standard & practices and removes local barriers/inhibitors. It gives banks, financial institutions, corporations and Government a web-based solution to facilitate interbank, high volume, electronic transactions which are repetitive and periodic in nature. NACH System can be used for making bulk transactions towards distribution of subsidies, dividends, interest, salary, pension etc. and also for bulk transactions towards collection of payments pertaining to telephone, electricity, water, loans, investments in mutual funds, insurance premium etc.",N/A,No,https://www.npci.org.in/product-overview/national-automated-clearing-house-product-overview
Fineract,India,Digital Payments,Mifos Initiative,"Fineract is a platform with open APIs that provides a reliable, robust, and affordable core banking solution for financial institutions offering services to the world’s 2 billion underbanked and unbanked. Mifos X is the standard distribution containing the platform, web client, and mobile client on Fineract. It will provide the client data management, loan and savings portfolio management, integrated real time accounting and social and financial reporting need to bring digital financial services in a modern connected world.","VMware Foundation, ThoughtWorks Social Impact Program, Google, Cisco, IBM, RedHat and others: https://mifos.org/about-us/supporters/",https://github.com/apache/fineract,https://mifos.org/
mPesa,Kenya,Digital Payments,"Vodafone, Safaricom","A digital payments service that enables Kenyans to send and receive money using their mobile phones on the GSM network, providing bank-like services for millions who had relied on cash and informal networks. It has expanded to other countries such as Tanzania, the Democratic Republic of Congo, Mozambique and Lesotho.",N/A,No,https://www.safaricom.co.ke/personal/m-pesa
Mowali,Multiple countries in Africa,Digital Payments,Orange Group and MTN Group,"Mowali ("mobile wallet interoperability") is a digital payment infrastructure that connects financial service providers and customers in one inclusive network. It functions as an industry utility, open to any mobile money provider in Africa, including banks, money transfer operators and other financial service providers. The objective of Mowali is to increase the usage of mobile money by consumers and merchants.  Mowali enables money to circulate freely between mobile money accounts from any operators in all countries thanks to using open source payment platform Mojaloop.","Bill and Melinda Gates Foundation, Mojaloop",No,https://www.orange.com/en/Press-Room/press-releases/press-releases-2018/Orange-and-MTN-launch-pan-African-mobile-money-interoperability-to-scale-up-mobile-financial-services-across-Africa
Mojaloop,N/A,Digital Payments,Mojaloop Foundation,"Mojaloop is open source software that serves as a reference model for creating interoperable payments platforms connecting all digital financial providers and customers, especially the financially excluded. Rather than a financial product or application in itself, Mojaloop’s open source blueprint will remove barriers—including time, money and technical complexity—that have hindered payment models from meeting the digital financial needs of the world’s 1.7 billion unbanked people.","Bill & Melinda Gates Foundation, Coil, Google, Moduxbox, Omidyar Network, Rockefeller Foundation, Dwolla, Crosslake Technologies, Ripple, and Software Group",https://github.com/mojaloop,https://mojaloop.io/
API Exchange (APIX),Singapore,Digital Payments,ASEAN Financial Innovation Network (AFIN),"APIX is a cross-border, open architecture API marketplace and sandbox platform for collaboration between FinTech companies and financial institutions in which participants can integrate and test solutions with each other via a cloud-based architecture.",N/A,N/A,https://apixplatform.com/
Tanzania Instant Payment System (TIPS),Tanzania,Digital Payments,Bank of Tanzania,"TIPS creates an interoperability layer between different payment service providers to facilitate real-time digital cash transfers between customers and service organzations. TIPS enables traditional financial service providers like interbank settlement systems and clearning houses to connect to mobile networks and other digital financial service providers, while providing regulators and public financing agencies with greater transparency, oversight, and enforcement. It will be launched in late 2020.",Tanzania Bankers Association,No,N/A
Pay,United Kingdom,Digital Payments,UK Government Digital Service,Pay is a beta platform that enables public sector agencies to accept payments. It enables participating organizations to accept payments instantly with no fees and manage payments through a administrator portal. It complies with Payment Card Industry (PCI) regulations and meets all government accessibility standards.,N/A,https://github.com/alphagov/pay-frontend,https://www.payments.service.gov.uk/
Her Majesty's Land Registry,"England, Wales",Land Titling,HM Land Registry,"HM Land Registry safeguards land and property ownership valued at £7 trillion, enabling over £1 trillion worth of personal and commercial lending to be secured against property across England and Wales. Once land or property is entered in the register, HM Land Registry records any ownership changes, mortgages or leases that affect it. ",Government Digital Service,https://github.com/LandRegistry,https://www.gov.uk/government/organisations/land-registry
e-Land Register,Estonia,Land Titling,Centre for Registers and Information Systems,"The e-Land Register is a web application that contains information on all ownership relations and limited real rights for properties and land parcels. Currently, there are over 1 million immovables in the Land Register. Paired with a geographical information system (GIS), the electronic Land Register delivers real-time geographical data through the X-Road, enabling advanced map-based visualizations that power many of the location-based services in Estonia.",N/A,No,https://kinnistusraamat.rik.ee/Login.aspx?
Georgia Blockchain-based Land Titling,Republic of Georgia,Land Titling,National Agency of Public Registry (NAPR),"The Republic of Georgia created the first blockchain-based land titling system.  By timestamping land title transactions and publishing records on a permanent blockchain, evidence of unauthorized changes or tampering is easy to identify. It creates a more secure land registry that deters corruption, while driving efficiency gains and cost-saving by removing cumbersome paper-based recordkeeping.","BitFury, New America",https://github.com/exonum,https://napr.gov.ge/p/1513
AusTender,Australia,Procurement,"Department of Finance, Government of Australia","AusTender, the Australian Government’s procurement information system, is a centralised web-based facility that publishes a range of information, including relevant entities’ planned procurements, open tenders and contracts awarded. It also supports secure electronic tendering to deliver integrity and efficiency for relevant entities and potential suppliers.",N/A,No,https://www.tenders.gov.au/
ChileCompra,Chile,Procurement,Ministry of Finance,"ChileCompra is an electronic public market and bidding platform, connecting procurement entities and suppliers from all over the country for calls to tenders and award offers.  By providing a central location for all public contracts and evaluation criteria, the government enhances transparency and accountability to public watchdog organizations and creates more competition for bids by making bids to smaller contractors more accessible. An online forum also enables contractors to ask questions about the bid to encourage participation from businesses who are far away from the capital.",N/A,No,http://www.mercadopublico.cl/
Sistema Electrónico para la Contratación Pública (SECOP II),Colombia,Procurement,Colombia Compra Eficiente,"Launched in 2015, SECOP II uses the Open Contracting Data Standard to make collecting, exchanging, and analyzing procurement data faster and more reliable.  The system can also assess market competition in real time using integrated business intelligence tools.",Open Contracting Partnership,No,https://www.colombiacompra.gov.co/secop-ii
Government e-Marketplace (GeM),India,Procurement,"Directorate General of Supplies & Disposal, Ministry of Commerce and Industry","GeM aims to enhance transparency, efficiency and speed in public procurement. It provides the tools of e-bidding, reverse e-auction and demand aggregation to help governments achieve the best value for their money and hence, use taxpayers’ money efficiently. GeM also provides the buyers with an option to select only MSMEs and choose a seller from amongst them. This has helped buyers in significantly increasing share of MSME purchases in their overall procurement of goods and services.",National eGovernance Division (Ministry of Electronics and Information Technology),No,https://gem.gov.in/
Compranet,Mexico,Procurement,"Secretariat of Public Administration, Government of Mexico","Compranet is a publicly accessible online portal through which relevant information is made available to private contractors through an open registry. While law requires that all projects be tendered competitively, exemption clauses do not enforce public disclosure for non-major projects.",OECD,No,https://compranet.hacienda.gob.mx/web/login.html
BASE Portal,Portugal,Procurement,"Instituto dos Mercados Públicos, do Imobiliário e da Construção (IMPIC)","Base Portal aggregates key data points on public contracts, such as calls for tenders, bids that have concluded, and penalties imposed for breaches of the Public Contracts Code. It also disseminates technical content and legislation relevant to bids, while providing transparency to citizens by empowering them to monitor public spending. Currently there is no API to export data to watchdog groups",N/A,No,http://www.base.gov.pt
Government Electronic Business (GeBIZ),Singapore,Procurement,"Ministry of Finance, Government of Singapore","GeBIZ is the Singapore Government's integreated e-procurement portal. All the public sector's invitations for quotations and tenders are posted on GeBIZ. Suppliers can search for government procurement opportunities, download tender documents, and submit their bids online. GeBIZ allows any supplier to access public sector business opportunities anywhere and anytime with just an Internet connection.","Defence Science and Technology Agency, Infocomm Development Authority of Singapore",No,https://www.gebiz.gov.sg/
KONEPS,South Korea,Procurement,Public Procurement Service (PPS),"KONEPS covers the entire procurement cycle electronically  (including  a  one-time  registration,  tendering,  contracts,  inspection  and  payment)  and related documents  are  exchanged  online.  KONEPS  links  about  140  external  systems  to  share  and  retrieve  any necessary information, and provide  a  one-stop service, including automatic  collection of  bidder's qualification data, delivery report, e-invoicing and e-payment. It provides information on a real-time basis.",Korea International Cooperation Agency,No,https://www.pps.go.kr/kor/index.do
Prozorro,Ukraine,Procurement,"Developed by Transparency International, managed by the Ministry of Economic Development and Trade of Ukraine",ProZorro is a fully online public procurement platform and a collaboration environment that ensures open access to public procurement (tenders) in Ukraine. Its hybrid model centralizes database information but allows suppliers and contracting authorities to access data from numerous platforms via API. The system has expanded to also organize sales of insolvent bank property and non-performing loans (Prozorro.Sale) and a private marketplace for commercial tenders (Rialto).,Open Contracting Partnership,https://github.com/openprocurement,https://prozorro.gov.ua/
Prozorro,Ukraine,Procurement,Ukrainain Minister of Economic Development and Trade,"ProZorro is a fully online public procurement platform and a collaboration environment that ensures open access to public procurement (tenders) in Ukraine. Fully implemented in 2016 as a hybrid (both centralized public and decentralized private marketplaces) system it has since been globally recognized as one of the most innovative public procurement systems delivering government services in a stakeholder-focused, transparent, effective, fair and low-cost way.","Open Contracting Partnership, Transparency International, Western NIS Enterprise Fund, USAID",https://github.com/ProzorroUKR,https://www.prozorro.gov.ua/
OpenCRVS,Bangladesh,Public Registries,OpenCRVS team,"OpenCRVS is a civil registration and population data system which will support and maintain the integrity of many other service delivery, statistical and identity management functions. The platform is a digital public good that will provide quality data on birth, death, and cause of death to inform evidence-based decision making. ","Government of Bangladesh CRVS Secretariat, Cabinet Division, Office of the Registrar General, and Directorate General of Health Services",https://github.com/opencrvs,https://www.opencrvs.org/
Population Registry,Estonia,Public Registries,"Ministry of the Interior, Republic of Estonia","The Population Registry is the state’s database for holding basic information about each person living in Estonia. It contains their name, ID code, date of birth, place of residence, and other statistical data such as nationality, native language, education and profession. Each resident can review and correct their data in the register. The register is connected to other systems via X-Road, and a variety of other state systems depend on its data for their services.",N/A,No,https://www.siseministeerium.ee/en/population-register
eVIN,India,Public Registries,"Ministry of Health, Government of India","The Electronic Vaccine Intelligence Network (eVIN) is a smart vaccine logistics system to monitor vaccine stocks and temperatures in real time. It’s a mobile, cloud-based application that allows health workers to update information on vaccine stocks after every immunization session. These updates are stored on a cloud server, so officials can immediately see which vaccines are available.","United Nationa Development Programme, Logistimo",No,https://smartnet.niua.org/content/d9b14fcf-c907-4260-bfd7-3ee9fa94c8d4
DIGIT,Bengaluru Municipal Corporation,Tax and Public Finance,eGov Foundation,"Digital Infrastructure for Governance Impact & Transformation (DIGIT) is a modular technology platform that helps urban local bodies (ULBs) more efficiently and accountably manage operations, track finances, and provide municipal services to citizens through data-driven decision-making.  Its open-source software ensures both interoperability among ULBs and rapid development of new modules by a wide array of software partners.","Municipal Affairs and Urban Development Department, Government of Andhra Pradesh",https://github.com/egovernments,https://www.digit.org/
Indirect Taxation Platform,India,Tax and Public Finance,Goods and Services Tax Network (GSTN),"The platform helps taxpayers in India to prepare, file returns, make payments of indirect tax liabilities and do other compliances. It provides IT infrastructure and services to the central and state governments, taxpayers and other stakeholders for implementation of the Goods and Services Tax (GST) in India.",N/A,No,https://www.gstn.org.in/
South Africa Revenue Service (SARS) e-Filing,South Africa,Tax and Public Finance,South Africa Revenue Service,"The South Africa Revenue Service created an e-filing system that allows citizens to file for their taxes and businesses to register for the VAT.  In 2014, they extented registration requirements for the VAT to foreign suppliers of electronic services. The combination of the legislative requirement and reduced compliance burden through seamless electronic registration led to 200 new business registrations and an additional $161 million USD in tax revenue.",N/A,No,https://www.sarsefiling.co.za/
Thailand Blockchain VAT refund app,Thailand,Tax and Public Finance,"Revenue Department, Ministry of Finance, Thailand","The platform will facilicate VAT refunds for tourists, enabling them to get their refunds quicker and provider greater incentive for foreign tourists to return and increase foreign consumption, investment, and domestic employment. It will also enable entrepreneurs to manage tax returns more efficiently and reduce the cost of processing physical documents. The use of blockchain technology protects the system from fraud and fake invoices.","Thailand Customs Department, the Immigration Bureau of Thailand, Krungthai Bank",No,N/A
